node,y,x,street_count,highway,ref,geometry,eigenvector_w_bridge,closeness_w_bridge,betweenness_w_bridge,straightness_w_bridge,eigenvector_wo_bridge,closeness_wo_bridge,betweenness_wo_bridge,straightness_wo_bridge
1037749615,38.9545476,-76.0790158,3,,,POINT (1574233.9077189448 470348.0346419261),5.091446468326231e-17,4.505523632367875e-05,0.013622832022417038,0.7935332623357175,6.319806103136054e-17,4.505523632367875e-05,0.013622832022417038,0.7935332623357175
1037749643,38.9539758,-76.0785116,3,,,POINT (1574379.3841282206 470141.24120880704),6.615750567291443e-17,4.567192586139073e-05,0.00028431685570509186,0.8118233687411471,5.767826471728453e-17,4.567192586139073e-05,0.00028431685570509186,0.8118233687411471
1037749661,38.9541813,-76.0780984,3,,,POINT (1574496.1268048396 470217.2673503361),3.065504663537136e-17,4.045799700819555e-05,0.005578651284227391,0.6993924326182271,3.118070995501502e-17,4.045799700819555e-05,0.005578651284227391,0.6993924326182271
1037749880,38.9542638,-76.0778963,3,,,POINT (1574553.292756753 470247.89297026576),8.194922158040365e-18,4.568386722699308e-05,0.015734278648575666,0.8120630648594939,2.0399624198738045e-18,4.568386722699308e-05,0.015734278648575666,0.8120630648594939
1037770054,39.1159974,-76.0213263,3,,,POINT (1590008.064237778 529316.7648676735),2.4640668737372384e-15,4.145173456504337e-05,0.20235866440023015,0.8113167784062799,2.4525126777686056e-15,4.145173456504337e-05,0.20235866440023015,0.8113167784062799
10592979877,39.0661869,-75.9426302,3,,,POINT (1612545.272265264 511425.3333983543),1.2466539538588926e-16,3.719578283488115e-05,0.0011456393394721916,0.7843801368347527,1.1443777372112012e-16,3.719578283488115e-05,0.0011456393394721916,0.7843801368347527
10592979878,39.0651222,-75.9439815,1,turning_circle,,POINT (1612166.1102442099 511033.14279828756),1.8616217219315452e-17,3.6958742260669264e-05,0.0,0.774619983391404,1.3219508267203857e-17,3.6958742260669264e-05,0.0,0.774619983391404
10592979885,39.067317,-75.9423375,1,turning_circle,,POINT (1612623.6041364868 511837.86349407583),1.8616217219315452e-17,3.7010628343625584e-05,0.0,0.7798250061236871,1.3219508267203857e-17,3.7010628343625584e-05,0.0,0.7798250061236871
10593028110,39.078384,-75.953831,3,,,POINT (1609314.3424774176 515830.7273620026),1.0415080627113127e-12,3.940474823719166e-05,0.01688410394637377,0.81853478621857,1.0414948002514094e-12,3.940474823719166e-05,0.01688410394637377,0.81853478621857
10593028111,39.0776028,-75.9537313,1,turning_circle,,POINT (1609345.9043657423 515546.54792003206),1.0358728826434469e-13,3.926971169247311e-05,0.0,0.8141556872720993,1.0358242983638836e-13,3.926971169247311e-05,0.0,0.8141556872720993
1063413006,38.9744915,-76.3266561,1,,,POINT (1503760.4558771679 476996.5228907866),1.6585399294191367e-17,3.8887302510598794e-05,0.0,0.8032877715085298,1.5504891533899068e-17,3.8887302510598794e-05,0.0,0.8032877715085298
