node,y,x,street_count,highway,ref,geometry,betweenness_w_bridge,betweenness_wo_bridge,closeness_w_bridge,closeness_wo_bridge,eigenvector_w_bridge,eigenvector_wo_bridge,straightness_w_bridge,straightness_wo_bridge
182804369,39.236405,-75.994845,1,,,POINT (1597038.303879193 573250.727001203),0.0,0.0,2.724007063566519e-05,2.724007063566519e-05,1.4072830952430773e-15,1.4072830952430773e-15,0.7579504567513361,0.7579504567513361
182804381,38.9257709,-76.32973,3,,,POINT (1503016.8671396773 459246.4231112473),0.0017173920002232,0.0017173920002232,3.0980180444593625e-05,3.0980180444593625e-05,8.63116663498761e-19,8.63116663498761e-19,0.6682078529621556,0.6682078529621556
182804383,38.9261518,-76.3278917,3,,,POINT (1503538.808329451 459388.98838919465),0.0005729017473503,0.0005729017473503,3.081752776460548e-05,3.081752776460548e-05,-9.503119731028333e-19,-9.503119731028333e-19,0.6591916979123643,0.6591916979123643
182804388,39.0397183,-76.0580981,3,,,POINT (1579862.0082773825 501426.723579314),0.0028219104549644,0.0028219104549644,4.8503569189394435e-05,4.8503569189394435e-05,-2.716203903103126e-18,-2.716203903103126e-18,0.7885553963699553,0.7885553963699553
182804390,39.0416477,-76.0625658,4,,,POINT (1578585.8778612795 502116.3295123305),0.0015021024180885,0.0015021024180885,4.926362957903547e-05,4.926362957903547e-05,1.5569074439987753e-18,1.5569074439987753e-18,0.7959295660584642,0.7959295660584642
182804392,39.041949,-76.063261,1,,,POINT (1578387.3066879602 502224.03307107696),0.0,0.0,4.909737846110919e-05,4.909737846110919e-05,-8.089590505660539e-19,-8.089590505660539e-19,0.7888177362037968,0.7888177362037968
182804393,39.2510896,-75.859547,3,,,POINT (1635291.99019004 579049.2025654998),0.0070395507399707,0.0070395507399707,2.4979422853388703e-05,2.4979422853388703e-05,2.2231124496715415e-05,2.2231124496715415e-05,0.8415296872780171,0.8415296872780171
182804400,39.2572928,-75.8633012,3,,,POINT (1634200.783413509 581295.1519034756),0.0058263615239843,0.0058263615239843,2.4902000250742708e-05,2.4902000250742708e-05,8.343183470086232e-06,8.343183470086232e-06,0.8676388907904022,0.8676388907904022
182804401,39.0072167,-76.2987979,3,,,POINT (1511588.6278156848 488974.48169292003),0.0005738866787211,0.0005738866787211,3.5221921626235845e-05,3.5221921626235845e-05,-3.201118300110206e-19,-3.201118300110206e-19,0.6616806267616113,0.6616806267616113
182804407,39.0062475,-76.298244,1,turning_circle,,POINT (1511748.7352772928 488622.7128251101),0.0,0.0,3.507427139599793e-05,3.507427139599793e-05,4.576929746678049e-19,4.576929746678049e-19,0.6518412088307629,0.6518412088307629
182804410,39.2374246,-75.9854528,3,,,POINT (1599694.3542187614 573651.4984634292),0.0022901295923451,0.0022901295923451,2.7465561258336067e-05,2.7465561258336067e-05,4.8507868412892963e-17,4.8507868412892963e-17,0.7713467987783039,0.7713467987783039
182804413,39.2384247,-75.9839559,1,,,POINT (1600114.2645944278 574020.4548879449),0.0,0.0,2.7337200585775775e-05,2.7337200585775775e-05,5.4740515814644005e-18,5.4740515814644005e-18,0.7686768608751903,0.7686768608751903
182804459,39.1516971,-76.0189698,1,,,POINT (1590536.9088452558 542325.6289404697),0.0,0.0,3.5952780351224954e-05,3.5952780351224954e-05,3.9676016164129884e-18,3.9676016164129884e-18,0.7568266670805072,0.7568266670805072
182804497,39.1900311,-75.763847,4,,,POINT (1662692.2398291228 557164.9556832364),0.0039479332446347,0.0039479332446347,2.3195187904997057e-05,2.3195187904997057e-05,2.389296185318271e-06,2.389296185318271e-06,0.8524727725022212,0.8524727725022212
182804498,39.1903442,-75.7661246,3,,,POINT (1662045.2060800851 557270.250092778),0.0015449469327185,0.0015449469327185,2.3160272072172617e-05,2.3160272072172617e-05,1.5353932857645328e-05,1.5353932857645328e-05,0.8473879890557915,0.8473879890557915
182804552,38.9675846,-76.2238622,3,,,POINT (1533004.7032657769 474713.1006394161),0.0011456393394721,0.0011456393394721,4.609757897601692e-05,4.609757897601692e-05,5.491753896600402e-19,5.491753896600402e-19,0.7525144779289492,0.7525144779289492
182804657,38.9591813,-76.1591258,1,turning_circle,,POINT (1551438.1846703694 471815.7348967827),0.0,0.0,4.44812027278537e-05,4.44812027278537e-05,-2.9753920254400127e-18,-2.9753920254400127e-18,0.6820209332705727,0.6820209332705727
182804687,39.0002322,-76.1278043,1,,,POINT (1560201.4063078433 486849.5315531685),0.0,0.0,5.118241354090789e-05,5.118241354090789e-05,-9.011678730203475e-19,-9.011678730203475e-19,0.7831311950569929,0.7831311950569929
182804702,38.963147,-76.2655016,1,,,POINT (1521179.094986803 472999.0104711006),0.0,0.0,4.0159314287167065e-05,4.0159314287167065e-05,7.302041799327873e-19,7.302041799327873e-19,0.6937064437478228,0.6937064437478228
182804759,39.0595377,-75.9229548,3,,,POINT (1618159.8800868304 509069.0977103606),0.0036734657026377,0.0036734657026377,3.683251044405318e-05,3.683251044405318e-05,4.29732282573676e-09,4.29732282573676e-09,0.8022433431478985,0.8022433431478985
182804784,39.1088554,-75.8518267,3,,,POINT (1638129.692032086 527275.9603400155),0.0063331087142623,0.0063331087142623,3.0536860161818183e-05,3.0536860161818183e-05,8.64368358111436e-05,8.64368358111436e-05,0.8417418851046519,0.8417418851046519
182804791,38.9643513,-76.2216155,4,,,POINT (1533653.5080514525 473541.0037869017),0.0564727637748808,0.0564727637748808,4.78973349512996e-05,4.78973349512996e-05,8.429543215728909e-18,8.429543215728909e-18,0.8047876564342055,0.8047876564342055
182804802,38.9740474,-76.2804113,4,traffic_signals,,POINT (1516908.509591286 476935.08718069654),0.128975613920035,0.128975613920035,4.356514440950383e-05,4.356514440950383e-05,-1.0145570678460598e-17,-1.0145570678460598e-17,0.7868506522795113,0.7868506522795113
182804840,38.892579,-76.144506,1,,,POINT (1555822.54546224 447598.83622735116),0.0,0.0,3.285789816912537e-05,3.285789816912537e-05,-2.6176469788967236e-19,-2.6176469788967236e-19,0.6509531854839276,0.6509531854839276
182804872,39.0624517,-76.0933487,1,turning_circle,,POINT (1569767.8980766723 509604.672056349),0.0,0.0,4.581062631664128e-05,4.581062631664128e-05,7.278643497773289e-19,7.278643497773289e-19,0.7280883061084891,0.7280883061084891
182804889,38.8748762,-76.3407552,1,,,POINT (1500014.2545576536 440688.2800348689),0.0,0.0,2.7262413562892967e-05,2.7262413562892967e-05,-5.467633041048399e-19,-5.467633041048399e-19,0.7113688426560816,0.7113688426560816
182804894,38.9131245,-76.3464853,1,,,POINT (1498283.26070717 454606.16123150114),0.0,0.0,3.0248139709959e-05,3.0248139709959e-05,-1.752518106785391e-18,-1.752518106785391e-18,0.7183439840628074,0.7183439840628074
182804896,39.2079917,-76.0519113,1,,,POINT (1580982.679254937 562729.5141004554),0.0,0.0,2.8621102835379788e-05,2.8621102835379788e-05,4.2189252213649386e-15,4.2189252213649386e-15,0.7245149834435772,0.7245149834435772
182804899,39.208474,-76.051506,1,,,POINT (1581095.6950749052 562906.3628985807),0.0,0.0,2.8570304727620937e-05,2.8570304727620937e-05,4.441412781015838e-16,4.441412781015838e-16,0.7240524904369157,0.7240524904369157
182804900,39.2366552,-75.9515721,1,,,POINT (1609293.528925549 573479.7117375911),0.0,0.0,2.7109397753737984e-05,2.7109397753737984e-05,5.00588117874209e-14,5.00588117874209e-14,0.7793499472493166,0.7793499472493166
182804944,39.1509741,-75.9658528,3,,,POINT (1605602.313903307 542228.572297441),0.0212714807376151,0.0212714807376151,3.593118164083436e-05,3.593118164083436e-05,1.5798753893115212e-11,1.5798753893115212e-11,0.8224928386962265,0.8224928386962265
182804993,39.2425837,-75.847377,3,,,POINT (1638777.2731344437 575994.6465813087),0.0004286093015277,0.0004286093015277,2.391888295283494e-05,2.391888295283494e-05,0.0002924591109641,0.0002924591109641,0.8149033522442912,0.8149033522442912
