node,eigenvector
102565839,2.0709599907348513e-18
102565851,-4.0535279527789355e-20
102565855,8.811166347925384e-19
102565860,5.1048389712664573e-20
102565863,1.6574644196049039e-19
102565867,3.770998791170305e-19
102565874,2.3821953902949013e-13
102565915,-4.841055815623344e-19
102565917,-3.3575412364709824e-19
102565918,-3.5965615978228266e-19
102565919,-6.519829263069887e-19
102565920,-2.5007773535889317e-19
102565921,-1.0367181475538091e-18
102565923,-3.3460101566843853e-19
102565925,2.307835715832718e-19
102565927,2.7486010436129606e-18
102565928,2.597974694652753e-18
102565931,3.1967508769067932e-18
102565935,4.341270293274616e-20
102565939,2.79440884323019e-19
102565941,-2.473496442321715e-19
102565943,-3.3683468749875737e-19
102565945,-2.644267948829686e-19
102565947,-8.837073062158646e-20
102565948,6.713920201984421e-20
102565950,2.0334704120139855e-19
102565952,1.518841649063238e-20
102565972,6.49403489366631e-20
102565974,-4.903453948348411e-19
102565976,3.1455202419706357e-19
102565978,-2.1131540225683222e-19
102565984,-1.1600449501033353e-19
102565986,9.816119002605789e-20
102566036,1.191910035498546e-19
102566038,-2.283978585694142e-19
102566062,-1.5034196601532506e-19
102566064,-1.5037651928496903e-19
102566067,1.1014579851790234e-19
102566070,-3.5779164372713754e-19
102566105,9.605844885987799e-20
102566126,-2.456851650089638e-19
102566129,1.2400956717474028e-19
102566131,2.6046726846438143e-19
102566153,-1.2768025354600836e-18
102566156,-3.659655912892714e-19
102566159,3.4875283038287867e-19
102566160,3.2674465954385625e-18
102566161,9.541442569775816e-18
102566164,3.1759855881139406e-17
102566166,1.0825188035854829e-16
102566179,3.0580729033318535e-19
102566184,1.1564690164979697e-19
102566197,-5.961032899929137e-20
102566261,-7.891357233371769e-19
102566278,2.0384857189349875e-19
102566280,-8.972761479700487e-20
102566300,-3.0961229101362548e-18
102566302,-2.1267765695580573e-18
102566366,3.4576700834842066e-15
102566367,4.342911822137269e-17
102566369,8.69696884379962e-17
102566370,1.0161178743753995e-17
102566374,1.7718307235477967e-17
102566410,6.24506593452672e-20
102566414,3.1191689532651794e-19
102566426,1.2465144004890952e-14
102566442,2.155050249705208e-19
102566454,1.3744725332088212e-19
102566511,9.576347628138353e-20
102566514,-1.8448517586076145e-19
102566516,5.92439509307526e-19
102566526,-1.8361847330314417e-21
102566529,1.148108768384106e-19
102566531,6.430047014157468e-19
102566722,4.702493530380594e-19
102566725,1.7333890895033658e-19
102566731,9.312060747152695e-20
102566750,1.4584417327464381e-16
102566767,1.910632166530946e-17
102566772,2.3533819319994428e-18
102566854,1.9032999544138372e-19
102566926,5.575960568872212e-20
102566934,-2.8065291425822534e-19
102566947,-2.4895520969904657e-19
102566970,-1.4997051813978449e-19
102566983,2.6538605326687515e-19
102566999,4.215321893541274e-19
102567011,2.221047935520691e-20
102567019,6.489966887761647e-20
102567022,-3.8248545639012763e-19
102567031,1.6379376316068282e-18
102567038,5.415711782604346e-19
102567102,2.930864867258891e-18
102567118,-1.6637164030069266e-18
102567164,2.547657700018564e-19
102567165,9.730404936506026e-21
102567171,-1.221203656988058e-19
102567213,-1.0005763531317032e-19
102567218,-7.343989052848129e-20
102567221,-5.701486666863738e-20
102567224,2.347245277323751e-19
102567226,4.030891266821622e-20
102567231,2.1477715243401095e-19
102567241,1.6126194402915828e-19
102567245,-3.4478176963364985e-19
102567250,-1.4078235962230166e-19
102567253,-2.659767830658729e-19
102567322,2.926722760957907e-19
102567325,-1.7079558435943938e-19
102567327,-2.881233114141669e-19
102567334,3.7213437637414818e-19
102567350,-3.5792007822055187e-19
102567352,1.7406464938599497e-19
102567358,-2.9100830231831016e-19
102567431,4.357714529459171e-19
102567439,2.4345971286052143e-18
102567452,1.7364376679070772e-17
102567458,2.1724124476787473e-17
102567487,7.492247175598816e-18
102567514,-9.132165602677857e-18
102567526,-5.911096571079269e-17
102567528,-7.355214749779655e-17
102567541,-8.506182064219727e-17
102567546,-3.1033457681418936e-17
102567551,2.147660300885079e-17
102567553,5.569334746788504e-17
102567564,5.451976969359117e-17
102567566,5.1743569130829217e-17
102567567,3.4249907833899405e-17
102567570,1.5479234506504533e-17
102567584,6.097480903192311e-19
102567587,6.740098727264227e-19
102567639,4.0813446833051873e-19
102567685,-1.9274210775403372e-19
102567687,-2.476278843217484e-19
102567707,1.7939552308703416e-19
102567709,-3.9376947247744713e-19
102567720,-3.6237667280085004e-18
102567732,-2.2874296778621415e-18
102567742,4.638407091268165e-20
102567775,3.4417845177131277e-18
102567832,-6.116359829134517e-21
102567834,-2.959513505820077e-19
102567836,-1.9396105567636107e-19
102567837,-1.5962724698164417e-20
102567839,6.777039161658058e-19
102567840,3.7120084275860177e-19
102567843,-1.9994970739257246e-19
102567845,-3.5047368260409996e-19
102567848,-7.868829324287493e-19
102567849,-5.665589939917543e-20
102567850,6.920865244093856e-20
102567856,1.2035017903444356e-20
102567858,-1.5619142821758859e-19
102567864,-1.2429209046593955e-19
102567866,4.461651284412103e-19
102567869,4.513671367167597e-17
102567871,4.39529713216299e-18
102567881,3.1954350652730597e-19
102567883,2.714702368184141e-20
102567887,5.520199282245659e-18
102567891,2.0141990241520043e-19
102567924,-1.6744919619427994e-19
102568128,7.195488859705136e-20
102568130,1.2184355101496492e-19
102568152,-4.966944472387714e-19
102568199,-1.363008492435304e-19
102568206,4.6275935447252114e-20
102568216,3.8101494309951436e-19
102568218,-1.1196391438580239e-19
102568222,-2.574963689932725e-19
102568230,4.255756727983696e-16
102568233,1.8804171825765897e-18
102568243,1.1242611250975216e-19
102568280,5.234311400228709e-19
102568282,-3.5241944885099654e-20
102568284,2.7235349860895705e-19
102568286,4.905331625751952e-19
102568288,8.50989374046843e-17
102568292,9.587736349254072e-18
102568305,-2.206294616468153e-19
102568431,1.4873482598346522e-17
102568444,3.601750857834201e-18
102568451,4.145285661820508e-19
102568476,1.5198815374993937e-16
102568486,7.387862769329465e-16
102568539,-2.8359753434464917e-19
102568543,-4.589218629183447e-19
102568545,3.741595037893283e-20
102568547,-3.4069968701966046e-19
102568549,1.6274224440542277e-19
102568555,-6.397690417476729e-18
102568561,4.2816828607537105e-19
102568570,1.4390177811302066e-19
102568574,-2.54316411362823e-19
102568577,-2.9494626190872234e-19
102568608,2.2976705837176215e-19
102568610,-9.135505376903819e-20
102568614,-3.4845640700557705e-21
102568618,9.144091653929121e-20
102568620,-3.2655445516745985e-19
102568781,3.711079892823735e-18
102568822,2.744672408123257e-18
102568823,-3.3015236756196746e-20
102568831,-3.561775539769794e-19
102568839,-3.0184385454853924e-20
102568870,-5.635294910777431e-19
102568871,6.790990802180806e-20
102568876,1.6451190546586614e-20
102568878,-1.0259610237736915e-19
102568883,-9.329964170411451e-21
102568914,3.396254286432948e-19
102568916,-4.9987836860107245e-20
102568964,-2.760783316196038e-20
