home,work,flow,home_node,work_node
24003701300,24003708004,30.0,102628342.0,6935252832.0
24003701300,24003730504,20.0,102628342.0,102636559.0
24003701300,24003730901,25.0,102628342.0,102573037.0
24003701300,24003731204,4.0,102628342.0,102576271.0
24003701300,24003740102,90.0,102628342.0,102570587.0
24003701300,24003740304,15.0,102628342.0,4717768057.0
24003701300,24003740500,15.0,102628342.0,498675923.0
24003701300,24003740601,20.0,102628342.0,11449905096.0
24003701300,24003740602,15.0,102628342.0,994213016.0
24003701300,24003740603,70.0,102628342.0,102587365.0
24003701300,24003740702,20.0,102628342.0,4707483807.0
24003701300,24003751102,15.0,102628342.0,102561687.0
24003701300,24003751200,4.0,102628342.0,33154781.0
24003701300,24003751400,10.0,102628342.0,102659137.0
24003701300,24003751500,35.0,102628342.0,666085667.0
24003701300,24003751700,20.0,102628342.0,3165813725.0
24003701300,24003980000,30.0,102628342.0,7386174054.0
24003701300,24005401504,4.0,102628342.0,37309778.0
24003701300,24005403402,4.0,102628342.0,37561313.0
24003701300,24005451200,15.0,102628342.0,37902756.0
24003701300,24027602100,4.0,102628342.0,37186780.0
24003701300,24027606707,15.0,102628342.0,37186145.0
24003701300,24027606904,20.0,102628342.0,37202666.0
24003701300,24510010400,10.0,102628342.0,49461046.0
24003701300,24510030200,20.0,102628342.0,49512386.0
24003701300,24510040100,45.0,102628342.0,288278897.0
24003701300,24510040200,45.0,102628342.0,49478028.0
24003701300,24510120202,20.0,102628342.0,49484027.0
24003701300,24510220100,15.0,102628342.0,49456207.0
24003701300,24510250500,15.0,102628342.0,49389121.0
24003701300,24510271700,30.0,102628342.0,49525768.0
24003701400,24003701102,45.0,102580038.0,102598366.0
24003701400,24003701200,35.0,102580038.0,102600790.0
24003701400,24003701300,15.0,102580038.0,102628342.0
24003701400,24003701400,280.0,102580038.0,102580038.0
24003701400,24003702300,25.0,102580038.0,2581953485.0
24003701400,24003702402,50.0,102580038.0,298042789.0
24003701400,24003702500,20.0,102580038.0,102643551.0
24003701400,24003702701,70.0,102580038.0,452085434.0
24003701400,24003702702,4.0,102580038.0,102619363.0
24003701400,24003706101,55.0,102580038.0,102566166.0
24003701400,24003706600,10.0,102580038.0,102617229.0
24003701400,24003707001,15.0,102580038.0,102553191.0
24003701400,24003708004,10.0,102580038.0,6935252832.0
24003701400,24003730502,10.0,102580038.0,102601086.0
24003701400,24003730700,10.0,102580038.0,102573307.0
24003701400,24003731201,15.0,102580038.0,102642146.0
24003701400,24003740800,4.0,102580038.0,3412132820.0
24003701400,24003750900,10.0,102580038.0,102611438.0
24003701400,24003751200,20.0,102580038.0,33154781.0
24003701400,24003751500,10.0,102580038.0,666085667.0
24003701400,24005408400,10.0,102580038.0,37285916.0
24003701400,24027606901,10.0,102580038.0,847712940.0
24003701400,24027606905,10.0,102580038.0,37187250.0
24003701400,24510010400,10.0,102580038.0,49461046.0
24003701400,24510040100,10.0,102580038.0,288278897.0
24003701400,24510110200,10.0,102580038.0,424631022.0
24003701400,24510130804,10.0,102580038.0,49539651.0
24003701400,24510250203,10.0,102580038.0,49468138.0
24003701400,24510260605,4.0,102580038.0,49388215.0
24003701400,24510280101,10.0,102580038.0,49497537.0
24003702100,24003702100,235.0,3106126336.0,3106126336.0
24003702100,24003702300,20.0,3106126336.0,2581953485.0
24003702100,24003702402,65.0,3106126336.0,298042789.0
24003702100,24003702500,10.0,3106126336.0,102643551.0
24003702100,24003702701,90.0,3106126336.0,452085434.0
24003702100,24003702702,35.0,3106126336.0,102619363.0
24003702100,24003706101,95.0,3106126336.0,102566166.0
24003702100,24003706500,90.0,3106126336.0,102591787.0
24003702100,24003706600,100.0,3106126336.0,102617229.0
24003702100,24003706700,15.0,3106126336.0,102579127.0
24003702100,24003730100,10.0,3106126336.0,5468494815.0
24003702100,24003730502,70.0,3106126336.0,102601086.0
24003702100,24003730504,20.0,3106126336.0,102636559.0
24003702100,24003730505,15.0,3106126336.0,588761375.0
24003702100,24003730601,65.0,3106126336.0,102576280.0
24003702100,24003730604,20.0,3106126336.0,3127053810.0
24003702100,24003730700,10.0,3106126336.0,102573307.0
24003702100,24003730901,4.0,3106126336.0,102573037.0
