osmid,y,x,street_count,highway,ref,geometry
182815610,38.9917017,-76.1568258,4,,,POINT (1551982.7813928085 483665.32076887926)
182815616,38.9926245,-76.158448,3,,,POINT (1551518.6309785512 483997.1405925474)
182815655,39.0337518,-76.0754699,4,traffic_signals,,POINT (1574950.07962908 499203.3440770633)
182815659,39.0328233,-76.0736402,4,,,POINT (1575473.226265765 498870.4628081728)
182815676,38.9518997,-76.1780838,3,,,POINT (1546071.463940316 469114.7701039043)
182815699,38.9552033,-76.1778899,1,turning_circle,,POINT (1546115.7687605408 470318.39681005816)
182815709,39.1535184,-75.8407192,3,,,POINT (1641074.7214464648 543581.4956535159)
182815771,39.1674938,-75.8325461,3,,,POINT (1643327.1726961173 548700.728466166)
182815788,38.9631584,-76.310553,3,,,POINT (1508369.5303432555 472903.25707125984)
182815792,38.9631146,-76.3112866,3,,,POINT (1508161.0647128446 472885.7309199933)
182815796,38.9630885,-76.3116782,1,,,POINT (1508049.7918890235 472875.3856927123)
182815805,39.2383732,-75.9245355,3,,,POINT (1616943.7278957737 574194.4936927583)
182815808,39.2390764,-75.9252235,4,,,POINT (1616745.8554600633 574448.3055408603)
182815811,39.2398405,-75.925963,4,,,POINT (1616533.1402321344 574724.1272453185)
182815812,39.2405838,-75.9266674,3,,,POINT (1616330.4593628244 574992.4922365467)
182815822,39.048736,-76.0555479,3,,,POINT (1580552.3365528074 504718.3615655981)
182815826,39.0496398,-76.055032,3,,,POINT (1580695.4362962646 505049.0328463962)
182815836,39.0163255,-76.3113633,3,,,POINT (1507993.0672695606 492264.6927942456)
182815876,38.8415365,-76.3745036,3,,,POINT (1490489.7773181505 428478.7690457486)
182815885,38.8415491,-76.3729626,3,,,POINT (1490928.6513280761 428486.3688584247)
182815916,38.9548821,-76.2999276,3,,,POINT (1511413.7858347953 469912.0873815867)
182815918,38.9545916,-76.2958749,3,,,POINT (1512567.0468634018 469815.15330202476)
182815926,38.9497676,-76.3036801,3,,,POINT (1510360.9148049108 468041.26755097386)
182815936,38.9416324,-76.2661838,3,,,POINT (1521048.1099863653 465162.03693219705)
182816008,39.183739,-75.9876407,3,,,POINT (1599291.5168045734 554092.2178738352)
182816035,39.1852338,-75.9619694,3,,,POINT (1606561.656183165 554718.3398373399)
182816046,39.1737258,-75.9015348,3,,,POINT (1623741.3534863747 550727.6380641196)
182816055,39.1719465,-75.9012972,1,,,POINT (1623816.5077132937 550080.4377802648)
182816086,39.0429252,-76.1174384,1,turning_circle,,POINT (1562996.8549670035 502426.2277895008)
182816101,39.0520835,-76.0724905,3,,,POINT (1575728.5259520384 505888.15778718574)
182816112,39.0544112,-76.0732442,3,,,POINT (1575505.8908668908 506733.71201535565)
182816130,39.0588863,-76.0653356,3,,,POINT (1577734.939968949 508386.40073409904)
182816133,39.061371,-76.0605715,3,,,POINT (1579078.3615373923 509305.1927051181)
182816146,39.0634108,-76.0565699,4,,,POINT (1580206.8710345412 510059.7877096039)
182816166,39.046817,-76.0660147,3,,,POINT (1577587.086783383 503988.8975177057)
182816187,39.0462842,-76.0652079,3,,,POINT (1577818.1981520082 503797.20217400463)
182816207,39.1743508,-75.9845328,3,,,POINT (1600210.4634255436 550682.831833265)
182816212,39.1749529,-75.9775546,1,,,POINT (1602186.1866250774 550924.1966194601)
182816221,38.9857943,-76.286444,3,,,POINT (1515160.0451578866 481199.7655152931)
182816234,39.0913212,-76.1444591,1,,,POINT (1555157.543851635 519978.75998980313)
182816258,39.0893739,-76.1253402,4,,,POINT (1560590.5899943127 519320.9838362704)
182816312,39.1004424,-76.1013354,3,,,POINT (1567364.0245853062 523418.26219760306)
182816378,38.9365585,-76.285639,1,,,POINT (1515529.1795239921 463270.2813007361)
182816392,38.9380179,-76.2847887,3,,,POINT (1515766.8725899637 463803.67403657595)
182816416,38.9402262,-76.2819107,3,,,POINT (1516579.140529441 464614.34141745913)
